File_Name,Keyword,Line_Number,Count
Timesheets WE 16.01.2022.pdf,toremember: signed,5,1
Timesheets WE 16.01.2022.pdf,toremember: signed shift,5,1
Timesheets WE 16.01.2022.pdf,toremember: signed shift break(s),5,1
Timesheets WE 16.01.2022.pdf,signed shift,5,1
Timesheets WE 16.01.2022.pdf,signed shift break(s),5,1
Timesheets WE 16.01.2022.pdf,shift break(s),5,1
Timesheets WE 16.01.2022.pdf,sign timesheet,6,1
Timesheets WE 16.01.2022.pdf,sign timesheet conclusion,6,1
Timesheets WE 16.01.2022.pdf,sign timesheet conclusion week,6,1
Timesheets WE 16.01.2022.pdf,timesheet conclusion,6,1
Timesheets WE 16.01.2022.pdf,timesheet conclusion week,6,1
Timesheets WE 16.01.2022.pdf,timesheet conclusion week receive,6,1
Timesheets WE 16.01.2022.pdf,conclusion week,6,1
Timesheets WE 16.01.2022.pdf,conclusion week receive,6,1
Timesheets WE 16.01.2022.pdf,week receive,6,1
Timesheets WE 16.01.2022.pdf,SPLEEN CENTRAL,8,1
Timesheets WE 16.01.2022.pdf,Staff (full,10,1
Timesheets WE 16.01.2022.pdf,Staff (full name):,10,1
Timesheets WE 16.01.2022.pdf,(full name):,10,1
Timesheets WE 16.01.2022.pdf,Timsheets complete,12,1
Timesheets WE 16.01.2022.pdf,Timsheets complete conclusion,12,1
Timesheets WE 16.01.2022.pdf,complete conclusion,12,1
Timesheets WE 16.01.2022.pdf,"Week commencing,",14,1
Timesheets WE 16.01.2022.pdf,"Week commencing, Monday",14,1
Timesheets WE 16.01.2022.pdf,"commencing, Monday",14,1
Timesheets WE 16.01.2022.pdf,double shifts),16,1
Timesheets WE 16.01.2022.pdf,signed| signed,19,1
Timesheets WE 16.01.2022.pdf,inby TOTAL,20,1
Timesheets WE 16.01.2022.pdf,inby TOTAL START,20,1
Timesheets WE 16.01.2022.pdf,TOTAL START,20,1
Timesheets WE 16.01.2022.pdf,week (Sat/Sun),24,1
Timesheets WE 16.01.2022.pdf,week (Sat/Sun) receive,24,1
