word,4
latitude,8
longitude,9
family,6
genus,5
metres,6
metre,5
samford,7
urban,5
senna,5
acacia,6
australis,9
intermedia,10
lantana,7
camara,6
eucalyptus,10
jacaranda,9
forma,5
sampler,7
authorship,10
kingdom,7
phylum,6
class,5
order,5
species,7
pitfall,7
traps,5
population,10
hymenoptera,11
https,5
biodiversity,12
smith,5
percentage,10
vegetation,10
stratum,7
shrub,5
ground,6
layer,5
dictionary,10
description,11
unique,6
identifier,10
location,8
start,5
visit,5
result,6
observation,11
actuation,9
sampling,8
applies,7
necessarily,11
interval,8
instant,7
other,5
compound,8
sensor,6
temperature,11
degrees,7
celsius,7
depth,5
range,5
specimen,8
sample,6
measured,8
surface,7
volumetric,10
water,5
content,7
ratio,5
volume,6
characteristics,15
amount,6
phosphorus,10
colwell,7
potassium,9
conductivity,12
level,5
calcium,7
chloride,8
copper,6
penta,5
acetic,6
manganese,9
grams,5
exchangeable,12
aluminium,9
magnesium,9
sodium,6
total,5
nitrogen,8
carbon,6
coarse,6
average,7
maximum,7
minimum,7
speed,5
solar,5
radiation,9
relative,8
humidity,8
millimetres,11
daily,5
rainfall,8
comment,7
notes,5
captured,8
standard,8
format,6
elevation,9
instrument,10
serial,6
degree,6
moisture,8
count,5
number,6
cubic,5
centimeter,10
lewis,5
national,8
diviner,7
position,8
institution,11
division,8
month,5
destination,11
country,7
reason,6
travel,6
agency,6
costs,5
contribution,12
agencies,8
sources,7
douglas,7
shelton,7
director,8
child,5
development,11
behaviour,9
service,7
medical,7
canada,6
seven,5
members,7
attend,6
training,8
diagnosis,9
foetal,6
alcohol,7
spectrum,8
disorder,8
asante,6
centre,6
receive,7
general,7
helen,5
cooper,6
program,7
integrated,10
administration,14
zealand,7
international,13
delegation,10
christchurch,12
examine,7
pathways,8
project,7
management,10
consultancies,13
susan,5
jansen,6
external,8
consultant,10
nursing,7
australia,9
registered,10
nurse,5
professional,12
recognition,11
mental,6
health,6
senior,6
executive,9
attending,9
learning,8
conference,10
seminar,7
forum,5
workshop,8
attendance,10
judith,6
warner,6
clinical,8
psychologist,12
community,9
clinician,9
exchange,8
partnership,11
university,10
california,10
diego,5
fetal,5
participation,13
confers,7
eligibility,11
apply,5
institute,9
